wage educ exper tenure nonwhite female married numdep smsa northcen south west construc ndurman trcommpu trade services profserv profocc clerocc servocc lwage expersq tenursq
3.1 11 2 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1.13 4 0
3.24 12 22 2 0 1 1 3 1 0 0 1 0 0 0 0 1 0 0 0 1 1.18 484 4
3 11 2 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1.1 4 0
6 8 44 28 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1.79 1936 784
5.3 12 7 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1.67 49 4
8.75 16 9 8 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2.17 81 64
11.25 18 15 7 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 2.42 225 49
5 12 5 3 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1.61 25 9
3.6 12 26 4 0 1 0 2 1 0 0 1 0 0 0 1 0 0 1 0 0 1.28 676 16
18.18 17 22 21 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2.9 484 441
6.25 16 8 2 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1.83 64 4
8.13 13 3 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 2.1 9 0
8.77 12 15 0 0 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 2.17 225 0
5.5 12 18 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1.7 324 9
22.2 12 31 15 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 3.1 961 225
17.33 16 14 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 2.85 196 0
7.5 12 10 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 2.01 100 0
10.63 13 16 10 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2.36 256 100
3.6 12 13 0 0 1 1 3 1 0 0 1 0 0 0 0 0 0 0 0 0 1.28 169 0
4.5 12 36 6 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1.5 1296 36
6.88 12 11 4 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1.93 121 16
8.48 12 29 13 0 0 1 3 1 0 0 1 0 0 0 0 0 0 0 0 0 2.14 841 169
6.33 16 9 9 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1.85 81 81
0.53 12 3 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 -0.63 9 1
6 11 37 8 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1.79 1369 64
9.56 16 3 3 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 2.26 9 9
7.78 16 11 10 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 2.05 121 100
12.5 16 31 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2.53 961 0
12.5 15 30 0 0 0 1 2 1 0 0 1 0 0 0 0 0 0 1 0 0 2.53 900 0
3.25 8 9 1 0 1 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1.18 81 1
13 14 23 5 0 0 1 2 1 0 0 1 0 0 0 0 0 1 1 0 0 2.56 529 25
4.5 14 2 5 0 1 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 1.5 4 25
9.68 13 16 16 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2.27 256 256
5 12 7 3 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1.61 49 9
4.68 12 3 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1.54 9 0
4.27 16 22 4 1 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1.45 484 16
6.15 12 15 6 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 1.82 225 36
3.51 4 39 15 0 0 1 5 1 0 0 1 0 0 0 1 0 0 0 0 0 1.26 1521 225
3 14 3 3 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1.1 9 9
6.25 12 11 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1.83 121 0
7.81 12 3 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 2.06 9 0
10 12 20 5 1 1 1 4 1 0 0 1 0 0 0 0 0 1 0 1 0 2.3 400 25
4.5 14 16 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1.5 256 0
4 11 45 12 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1.39 2025 144
6.38 13 11 4 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1.85 121 16
13.7 15 20 13 0 0 1 2 1 0 0 1 0 0 0 0 0 1 1 0 0 2.62 400 169
1.67 10 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0.51 1 0
2.93 12 36 2 0 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1.08 1296 4
3.65 14 9 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1.29 81 4
2.9 12 15 1 0 1 1 2 1 0 0 1 0 0 0 0 1 0 0 0 1 1.06 225 1
1.63 12 18 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0.49 324 0
8.6 16 3 2 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2.15 9 4
5 12 15 5 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1.61 225 25
6 12 7 7 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.79 49 49
2.5 12 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0.92 4 0
3.25 15 3 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1.18 9 0
3.4 16 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1.22 1 1
10 8 13 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2.3 169 0
21.63 18 8 8 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 3.07 64 64
4.38 16 7 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1.48 49 0
11.71 13 40 20 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 2.46 1600 400
12.39 14 42 5 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2.52 1764 25
6.25 10 36 8 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1.83 1296 64
3.71 10 13 0 1 1 0 4 1 0 0 0 0 0 0 0 0 1 0 1 0 1.31 169 0
7.78 14 9 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2.05 81 9
19.98 14 26 23 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 2.99 676 529
6.25 16 7 4 1 1 1 3 1 0 0 0 0 0 0 0 0 1 1 0 0 1.83 49 16
10 12 25 3 0 0 1 3 1 0 0 0 0 0 0 0 0 1 1 0 0 2.3 625 9
5.71 16 10 5 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1.74 100 25
2 12 3 2 0 1 0 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0.69 9 4
5.71 16 3 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1.74 9 0
13.08 17 17 2 1 0 1 3 1 0 0 0 0 0 0 0 0 1 1 0 0 2.57 289 4
4.91 12 17 8 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1.59 289 64
2.91 12 20 34 0 1 1 2 1 0 0 0 0 0 0 0 1 0 0 1 0 1.07 400 1156
3.75 12 7 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1.32 49 0
11.9 13 24 19 0 0 1 2 1 0 0 0 0 0 0 0 0 1 1 0 0 2.48 576 361
4 12 28 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1.39 784 0
3.1 12 2 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1.13 4 1
8.45 12 19 13 0 0 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0 2.13 361 169
